,author,subsme,subs,like
353,/profile/vgxqxvykjdq4m5f1a9uryn2b0w/,219,179,1.9k
354,/profile/ty9ug7w3230jhqw4hy0fxv98gm/,11.6k,5.1k,47.1k
355,/profile/4bt5pnr1crmy5kgyhmt9fmf5c4/,53.2k,23.8k,409k
356,/@entomoloid/,37.5k,12.5k,103k
357,/profile/86qvcz4yhx316b633jc78c7zm0/,425,435,11.3k
358,/@elenag/,8.1k,7.4k,141k
359,/@serg_spb/,2.7k,1.2k,6.5k
360,/@lanasvetikovas/,12.3k,11.0k,520k
361,/profile/adrkgh8eqtpwuzbkr28j3j57xr/,394,581,20.1k
362,/@wu/,0,596,4.4k
363,/profile/4ccrqp2ujbvhgc9p51hgdy6nm8/,27.3k,10.3k,368k
364,/profile/8peb8evr50a5grf14yr09wkwcg/,131,179,1.6k
365,/profile/ebxecjttba9fceu17gu5ej78nc/,8.3k,4.7k,48.4k
366,/@belyashik/,20.5k,8.2k,38.5k
367,/profile/cfz82k32erj2q0w9t5b65mtqmg/,2.0k,2.0k,92.3k
368,/profile/q09cd3h1jycjeq9drbnk695h7r/,974,989,34.7k
369,/profile/f82nt00xwd1450njf2xhnz2f7m/,19.7k,11.6k,338k
370,/profile/cz5f43wupr3dwx9686g6yk84wr/,493,2.2k,95.4k
371,/profile/en8q6ykef2vah03ufnmnqrfmmm/,1.2k,1.0k,23.1k
372,/@ksunia/,605,605,30.2k
373,/profile/cwmfhj83jzzy1y2yad9dzt3qzm/,228,699,9.0k
374,/profile/yaaa3nubc9etq4vua8j9e12j4w/,3,49,138
375,/profile/96wu738vagpxkkqp1rmgvbq880/,8.1k,5.7k,37.9k
376,/profile/yqkmf270a07pq7xc2ae5ajktg0/,1.1k,1.4k,24.7k
377,/profile/n7fqnzjv1ke9t2erpvt37vuufc/,5.6k,2.9k,19.9k
378,/profile/5a269cu67zfb90b5xxdrfz93em/,644,705,3.6k
379,/@sun_moon_eclipse/,1,518,3.5k
380,/@olesya_612/,3.3k,3.3k,62.1k
381,/@d13charic/,8.7k,1.9k,6.1k
382,/profile/ft740hdnc6pm9mn9h9kwkw2y3r/,7.6k,4.4k,68.5k
383,/profile/22zgajbwnx7m9ybxwjzbcq0qqm/,9.4k,6.0k,153k
384,/@frolova/,188,1.5k,58.4k
385,/@slimbimka/,525,342,2.7k
386,/profile/v0730694bkc2mf2vq0qw156vgr/,4,619,14.1k
387,/profile/yp49xxyh21p8m5t99yh74qc4mr/,862,710,5.1k
388,/profile/fnjdadgv0g1bhmgdza1qx432pg/,451,457,3.7k
389,/@47914260/,8.2k,3.6k,80.0k
390,/profile/dgwrduzkpvedm2eyghxyyemn94/,25,769,6.9k
391,/profile/ut4w3dar9c3ncecp1xmyd3p2a0/,103,497,7.1k
392,/@extreme_vu/,2.4k,2.4k,84.5k
393,/@ghostsnowflake/,11.2k,5.0k,45.8k
394,/@amodey/,11.4k,8.4k,230k
395,/profile/tgguv4t04r2jgtqgm3wquv66tc/,6.2k,3.9k,56.6k
396,/@share_my_prompt/,11.9k,10.6k,53.1k
397,/profile/2c1z57jva8fw4yf275u6xvzwe0/,5.9k,2.0k,13.8k
398,/profile/0y3080rmz3q70bn5rwgtgj2n10/,8.0k,4.2k,46.6k
399,/profile/9kep4cgtey91g8d71d1ym6hc5m/,9.4k,5.2k,34.0k
400,/profile/rpc1x15dj0bmnd2t2n6tt9tyyg/,404,333,1.1k
401,/profile/cdft7nvexxjdr9ab0tx7987b6g/,4.1k,4.1k,278k
402,/profile/n6zqgp343uf0dbw8w6hrwg9w6m/,1,299,3.8k
403,/profile/5n878kdv12v5227vp7kz4cnrcm/,11.3k,6.7k,70.8k
404,/profile/r5za9ma9w5z5p857zm86nyx8fm/,6.0k,7.1k,261k
405,/profile/75nm3czkjfbmaj0g1yfh4x9578/,5.9k,5.2k,37.2k
406,/@intell_06/,52.7k,21.4k,87.7k
407,/@great/,8.3k,8.2k,290k
408,/@ip/,9.2k,5.6k,75.3k
409,/profile/aqcx021aup07kn7jyfb326uy1g/,44.4k,14.8k,109k
410,/profile/uuxcexbm57nhbdx31aqae9xcqc/,609,7.2k,286k
411,/@svk/,44.1k,17.1k,78.2k
412,/@hrensgarmoshkoy/,2.4k,2.3k,97.2k
413,/@samisusami/,8.9k,5.0k,138k
414,/@delante/,2.9k,4.7k,183k
415,/profile/3wbvq6d82raey8cw2nqdb27rer/,106,1.5k,14.3k
416,/@rose_muerte/,36.7k,14.8k,267k
417,/@mrfox/,29.0k,18.6k,269k
418,/@secrets999/,2.2k,1.1k,1.7k
419,/profile/x4ej0hdqbtmf20e27c9du830q4/,16,165,776
420,/@jamais_contente/,11.6k,7.1k,86.6k
421,/@angelika_rozanova/,36.0k,14.2k,267k
422,/profile/maxxxfetisov/,18.3k,9.5k,52.1k
423,/profile/787w7nkj2g1jxd3ymdqn20rner/,5.4k,3.8k,153k
424,/@dr.falanga/,600,645,11.3k
425,/profile/3bv211351444yhbrzm87cdzkvr/,9.8k,5.0k,64.3k
426,/profile/8nwu41z9c9kyfj7wpx73fxpqyc/,2.9k,1.6k,16.9k
427,/profile/t9ry9a3057nck3gf41dpqvuec8/,4.4k,3.6k,155k
428,/profile/5jf2uhhdh0byx290g8wedpb7zm/,20.6k,7.6k,98.6k
429,/@katerina_belle/,956,10.8k,260k
430,/@1404/,89,2.3k,70.1k
431,/profile/4b6025vapz2uz517fy8f4z6p20/,17.0k,7.8k,63.1k
432,/@a5trotv/,17.4k,6.7k,58.0k
433,/profile/98n14u9e9uvp28zr062grx612m/,5,734,12.2k
434,/@driven1983/,10.1k,5.3k,89.9k
435,/@gold_phoenix/,4.3k,4.1k,169k
436,/profile/23up1uncf34v8f2g8y4q46ffxc/,2,177,2.4k
